dataset,method,recipe_name,node_id,step_text,ground_truth_error,max_minus_min
captaincookrecipes,entail_base,blenderbananapancakes,1,"Because we have completed all previous steps (START),  we can now do the step Add-1/2 tsp baking powder to a blender. And now we have completed this step Add-1/2 tsp baking powder to a blender.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,"Because we have completed all previous steps (Transfer-Transfer to a plate, and Chop-Chop 1 strawberry), and have all necessary ingredients (strawberries), we can now do the step Serve-Serve the pancakes with chopped strawberries. And now we have completed this step Serve-Serve the pancakes with chopped strawberries.",1,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,"Because we have completed all previous steps (blitz-blitz the blender for 20 seconds), and have all necessary ingredients (butter), we can now do the step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat. And now we have completed this step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,"Because we have completed all previous steps (Serve-Serve the pancakes with chopped strawberries), and have all necessary ingredients (maple syrup), we can now do the step splash-splash maple syrup on plate. And now we have completed this step splash-splash maple syrup on plate.",1,0.0
captaincookrecipes,entail_base,blenderbananapancakes,5,"Because we have completed all previous steps (START), and have all necessary ingredients (banana), we can now do the step Add-Add 1 banana to a blender. And now we have completed this step Add-Add 1 banana to a blender.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,6,"Because we have completed all previous steps (Pour-Pour three little puddles straight from the blender into the frying pan),  we can now do the step Cook-Cook for 1 min or until the tops start to bubble. And now we have completed this step Cook-Cook for 1 min or until the tops start to bubble.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,7,"Because we have completed all previous steps (Add-Add 1 banana to a blender, and Add-1 heaped tbsp flour to a blender, and Add-1/2 tsp baking powder to a blender, and Add-1 egg to a blender),  we can now do the step blitz-blitz the blender for 20 seconds. And now we have completed this step blitz-blitz the blender for 20 seconds.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,8,"Because we have completed all previous steps (Cook-Cook for 1 min or until the tops start to bubble),  we can now do the step Flip-Flip the pancakes with a fork or a fish slice spatula. And now we have completed this step Flip-Flip the pancakes with a fork or a fish slice spatula.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,9,"Because we have completed all previous steps (START), and have all necessary ingredients (egg), we can now do the step Add-1 egg to a blender. And now we have completed this step Add-1 egg to a blender.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,10,"Because we have completed all previous steps (Flip-Flip the pancakes with a fork or a fish slice spatula),  we can now do the step cook-cook for 20-30 seconds more. And now we have completed this step cook-cook for 20-30 seconds more.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,11,"Because we have completed all previous steps (Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat),  we can now do the step Pour-Pour three little puddles straight from the blender into the frying pan. And now we have completed this step Pour-Pour three little puddles straight from the blender into the frying pan.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,12,"Because we have completed all previous steps (START), and have all necessary ingredients (flour), we can now do the step Add-1 heaped tbsp flour to a blender. And now we have completed this step Add-1 heaped tbsp flour to a blender.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,13,"Because we have completed all previous steps (START), and have all necessary ingredients (strawberry), we can now do the step Chop-Chop 1 strawberry. And now we have completed this step Chop-Chop 1 strawberry.",0,1.0
captaincookrecipes,entail_base,blenderbananapancakes,14,"Because we have completed all previous steps (cook-cook for 20-30 seconds more),  we can now do the step Transfer-Transfer to a plate. And now we have completed this step Transfer-Transfer to a plate.",0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,15,"Because we have completed all previous steps (splash-splash maple syrup on plate),  we can now do the step END. And now we have completed this step END.",1,0.0
captaincookrecipes,entail_base,breakfastburritos,1,"Because we have completed all previous steps (add-Extract and add contents of an egg to a microwave-safe bowl), and have all necessary ingredients (egg), we can now do the step Whisk-Whisk the egg. And now we have completed this step Whisk-Whisk the egg.",0,0.0
captaincookrecipes,entail_base,breakfastburritos,2,"Because we have completed all previous steps (Whisk-Whisk the egg),  we can now do the step Microwave-Microwave for 3 minutes, stirring in between. And now we have completed this step Microwave-Microwave for 3 minutes, stirring in between.",0,1.0
captaincookrecipes,entail_base,breakfastburritos,3,"Because we have completed all previous steps (Microwave-Microwave for 3 minutes, stirring in between),  we can now do the step Add-Add 1/2 tbsp sweet and sour sauce to the bowl. And now we have completed this step Add-Add 1/2 tbsp sweet and sour sauce to the bowl.",0,0.0
captaincookrecipes,entail_base,breakfastburritos,4,"Because we have completed all previous steps (Pour-Pour egg mixture on top of the tortilla),  we can now do the step Sprinkle-Sprinkle 1 tbsp shredded cheddar cheese on top of the egg. And now we have completed this step Sprinkle-Sprinkle 1 tbsp shredded cheddar cheese on top of the egg.",1,0.0
captaincookrecipes,entail_base,breakfastburritos,5,"Because we have completed all previous steps (Sprinkle-Sprinkle oregano in the bowl, and Add-Add 1 tbsp salsa to the bowl, and Add-Add 1/2 tbsp sweet and sour sauce to the bowl),  we can now do the step Mix-Mix the contents of the bowl well. And now we have completed this step Mix-Mix the contents of the bowl well.",0,0.0
captaincookrecipes,entail_base,breakfastburritos,6,"Because we have completed all previous steps (START), and have all necessary ingredients (egg), we can now do the step add-Extract and add contents of an egg to a microwave-safe bowl. And now we have completed this step add-Extract and add contents of an egg to a microwave-safe bowl.",0,0.0
captaincookrecipes,entail_base,breakfastburritos,7,"Because we have completed all previous steps (Sprinkle-Sprinkle 1 tbsp shredded cheddar cheese on top of the egg),  we can now do the step Roll-Roll the tortilla from one end to another into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps but not so tight that the filling leaks. And now we have completed this step Roll-Roll the tortilla from one end to another into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps but not so tight that the filling leaks.",1,0.0
captaincookrecipes,entail_base,breakfastburritos,8,"Because we have completed all previous steps (Place-Place 8 inch tortilla on a cutting board, and Mix-Mix the contents of the bowl well), and have all necessary ingredients (egg, and tortilla), we can now do the step Pour-Pour egg mixture on top of the tortilla. And now we have completed this step Pour-Pour egg mixture on top of the tortilla.",1,0.0
captaincookrecipes,entail_base,breakfastburritos,9,"Because we have completed all previous steps (Microwave-Microwave for 3 minutes, stirring in between),  we can now do the step Add-Add 1 tbsp salsa to the bowl. And now we have completed this step Add-Add 1 tbsp salsa to the bowl.",0,0.0
captaincookrecipes,entail_base,breakfastburritos,10,"Because we have completed all previous steps (START),  we can now do the step Place-Place 8 inch tortilla on a cutting board. And now we have completed this step Place-Place 8 inch tortilla on a cutting board.",0,1.0
captaincookrecipes,entail_base,breakfastburritos,11,"Because we have completed all previous steps (Microwave-Microwave for 3 minutes, stirring in between), and have all necessary ingredients (oregano), we can now do the step Sprinkle-Sprinkle oregano in the bowl. And now we have completed this step Sprinkle-Sprinkle oregano in the bowl.",0,0.0
captaincookrecipes,entail_base,breakfastburritos,12,"Because we have completed all previous steps (Roll-Roll the tortilla from one end to another into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps but not so tight that the filling leaks),  we can now do the step END. And now we have completed this step END.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,1,"Because we have completed all previous steps (START),  we can now do the step Add-Add 1/8 cup soy sauce to the bowl. And now we have completed this step Add-Add 1/8 cup soy sauce to the bowl.",0,1.0
