dataset,recipe_name,ordering_index,claim_id,original_position,reordered_position,claim_text,ground_truth_error_label,method,raw_score,predicted_error_label,model,threshold,hyperparams,seed
captaincookrecipes,blenderbananapancakes,0,1,4,4,"Because we have completed all previous steps (START),  we can now do the step Add-1/2 tsp baking powder to a blender. And now we have completed this step Add-1/2 tsp baking powder to a blender.",0,ares,0.00699300691485405,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,2,12,12,"Because we have completed all previous steps (Transfer-Transfer to a plate, and Chop-Chop 1 strawberry), and have all necessary ingredients (strawberries), we can now do the step Serve-Serve the pancakes with chopped strawberries. And now we have completed this step Serve-Serve the pancakes with chopped strawberries.",1,ares,0.04545454680919647,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,3,6,6,"Because we have completed all previous steps (blitz-blitz the blender for 20 seconds), and have all necessary ingredients (butter), we can now do the step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat. And now we have completed this step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat.",0,ares,0.05734265595674515,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,4,13,13,"Because we have completed all previous steps (Serve-Serve the pancakes with chopped strawberries), and have all necessary ingredients (maple syrup), we can now do the step splash-splash maple syrup on plate. And now we have completed this step splash-splash maple syrup on plate.",1,ares,0.0,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,5,2,2,"Because we have completed all previous steps (START), and have all necessary ingredients (banana), we can now do the step Add-Add 1 banana to a blender. And now we have completed this step Add-Add 1 banana to a blender.",0,ares,0.7937062978744507,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,6,8,8,"Because we have completed all previous steps (Pour-Pour three little puddles straight from the blender into the frying pan),  we can now do the step Cook-Cook for 1 min or until the tops start to bubble. And now we have completed this step Cook-Cook for 1 min or until the tops start to bubble.",0,ares,0.5279720425605774,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,7,5,5,"Because we have completed all previous steps (Add-Add 1 banana to a blender, and Add-1 heaped tbsp flour to a blender, and Add-1/2 tsp baking powder to a blender, and Add-1 egg to a blender),  we can now do the step blitz-blitz the blender for 20 seconds. And now we have completed this step blitz-blitz the blender for 20 seconds.",0,ares,0.6818181872367859,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,8,9,9,"Because we have completed all previous steps (Cook-Cook for 1 min or until the tops start to bubble),  we can now do the step Flip-Flip the pancakes with a fork or a fish slice spatula. And now we have completed this step Flip-Flip the pancakes with a fork or a fish slice spatula.",0,ares,0.6398601531982422,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,9,3,3,"Because we have completed all previous steps (START), and have all necessary ingredients (egg), we can now do the step Add-1 egg to a blender. And now we have completed this step Add-1 egg to a blender.",0,ares,0.6965034604072571,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,10,10,10,"Because we have completed all previous steps (Flip-Flip the pancakes with a fork or a fish slice spatula),  we can now do the step cook-cook for 20-30 seconds more. And now we have completed this step cook-cook for 20-30 seconds more.",0,ares,0.5734266042709351,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,11,7,7,"Because we have completed all previous steps (Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat),  we can now do the step Pour-Pour three little puddles straight from the blender into the frying pan. And now we have completed this step Pour-Pour three little puddles straight from the blender into the frying pan.",0,ares,0.18881118297576904,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,12,0,0,"Because we have completed all previous steps (START), and have all necessary ingredients (flour), we can now do the step Add-1 heaped tbsp flour to a blender. And now we have completed this step Add-1 heaped tbsp flour to a blender.",0,ares,0.5244755148887634,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,13,1,1,"Because we have completed all previous steps (START), and have all necessary ingredients (strawberry), we can now do the step Chop-Chop 1 strawberry. And now we have completed this step Chop-Chop 1 strawberry.",0,ares,0.7608391642570496,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,14,11,11,"Because we have completed all previous steps (cook-cook for 20-30 seconds more),  we can now do the step Transfer-Transfer to a plate. And now we have completed this step Transfer-Transfer to a plate.",0,ares,0.5804195404052734,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,0,15,14,14,"Because we have completed all previous steps (splash-splash maple syrup on plate),  we can now do the step END. And now we have completed this step END.",1,ares,0.003496503457427025,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,1,4,3,"Because we have completed all previous steps (START),  we can now do the step Add-1/2 tsp baking powder to a blender. And now we have completed this step Add-1/2 tsp baking powder to a blender.",0,ares,0.017482517287135124,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,2,12,12,"Because we have completed all previous steps (Transfer-Transfer to a plate, and Chop-Chop 1 strawberry), and have all necessary ingredients (strawberries), we can now do the step Serve-Serve the pancakes with chopped strawberries. And now we have completed this step Serve-Serve the pancakes with chopped strawberries.",1,ares,0.1818181872367859,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,3,6,6,"Because we have completed all previous steps (blitz-blitz the blender for 20 seconds), and have all necessary ingredients (butter), we can now do the step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat. And now we have completed this step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat.",0,ares,0.42867130041122437,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,4,13,13,"Because we have completed all previous steps (Serve-Serve the pancakes with chopped strawberries), and have all necessary ingredients (maple syrup), we can now do the step splash-splash maple syrup on plate. And now we have completed this step splash-splash maple syrup on plate.",1,ares,0.0,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,5,2,2,"Because we have completed all previous steps (START), and have all necessary ingredients (banana), we can now do the step Add-Add 1 banana to a blender. And now we have completed this step Add-Add 1 banana to a blender.",0,ares,0.751748263835907,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,6,8,8,"Because we have completed all previous steps (Pour-Pour three little puddles straight from the blender into the frying pan),  we can now do the step Cook-Cook for 1 min or until the tops start to bubble. And now we have completed this step Cook-Cook for 1 min or until the tops start to bubble.",0,ares,0.7727271914482117,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,7,5,5,"Because we have completed all previous steps (Add-Add 1 banana to a blender, and Add-1 heaped tbsp flour to a blender, and Add-1/2 tsp baking powder to a blender, and Add-1 egg to a blender),  we can now do the step blitz-blitz the blender for 20 seconds. And now we have completed this step blitz-blitz the blender for 20 seconds.",0,ares,0.5629370808601379,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,8,9,9,"Because we have completed all previous steps (Cook-Cook for 1 min or until the tops start to bubble),  we can now do the step Flip-Flip the pancakes with a fork or a fish slice spatula. And now we have completed this step Flip-Flip the pancakes with a fork or a fish slice spatula.",0,ares,0.8426573872566223,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,9,3,4,"Because we have completed all previous steps (START), and have all necessary ingredients (egg), we can now do the step Add-1 egg to a blender. And now we have completed this step Add-1 egg to a blender.",0,ares,0.24475523829460144,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,10,10,10,"Because we have completed all previous steps (Flip-Flip the pancakes with a fork or a fish slice spatula),  we can now do the step cook-cook for 20-30 seconds more. And now we have completed this step cook-cook for 20-30 seconds more.",0,ares,0.7517482042312622,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,11,7,7,"Because we have completed all previous steps (Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat),  we can now do the step Pour-Pour three little puddles straight from the blender into the frying pan. And now we have completed this step Pour-Pour three little puddles straight from the blender into the frying pan.",0,ares,0.4965035021305084,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,12,0,0,"Because we have completed all previous steps (START), and have all necessary ingredients (flour), we can now do the step Add-1 heaped tbsp flour to a blender. And now we have completed this step Add-1 heaped tbsp flour to a blender.",0,ares,0.5734266042709351,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,13,1,1,"Because we have completed all previous steps (START), and have all necessary ingredients (strawberry), we can now do the step Chop-Chop 1 strawberry. And now we have completed this step Chop-Chop 1 strawberry.",0,ares,0.7447552680969238,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,14,11,11,"Because we have completed all previous steps (cook-cook for 20-30 seconds more),  we can now do the step Transfer-Transfer to a plate. And now we have completed this step Transfer-Transfer to a plate.",0,ares,0.7727273106575012,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,1,15,14,14,"Because we have completed all previous steps (splash-splash maple syrup on plate),  we can now do the step END. And now we have completed this step END.",1,ares,0.0,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,2,1,4,3,"Because we have completed all previous steps (START),  we can now do the step Add-1/2 tsp baking powder to a blender. And now we have completed this step Add-1/2 tsp baking powder to a blender.",0,ares,0.024475524201989174,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,2,2,12,12,"Because we have completed all previous steps (Transfer-Transfer to a plate, and Chop-Chop 1 strawberry), and have all necessary ingredients (strawberries), we can now do the step Serve-Serve the pancakes with chopped strawberries. And now we have completed this step Serve-Serve the pancakes with chopped strawberries.",1,ares,0.0139860138297081,1,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
captaincookrecipes,blenderbananapancakes,2,3,6,6,"Because we have completed all previous steps (blitz-blitz the blender for 20 seconds), and have all necessary ingredients (butter), we can now do the step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat. And now we have completed this step Melt-Melt a small knob of butter in a non-stick frying pan over low-medium heat.",0,ares,0.418181836605072,0,gpt-4o-mini,0.29898306727409363,"{'p': 0.95, 'temperature': 0.0, 'epsilon': 0.1, 'delta': 0.1}",42
