example_id,node_id,serialization_id,serialization,method,score,binary_prediction,gold_label
spicedhotchocolate,1,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.7622047662734985,0,1
spicedhotchocolate,1,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.4050000060349703,1,1
spicedhotchocolate,2,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.4755905866622925,1,0
spicedhotchocolate,2,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,3,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.8653543591499329,0,1
spicedhotchocolate,3,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.6956666764989495,0,1
spicedhotchocolate,5,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.774803102016449,0,0
spicedhotchocolate,5,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,6,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.9614173769950867,0,0
spicedhotchocolate,6,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.800000011920929,0,0
spicedhotchocolate,7,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.800000011920929,0,0
spicedhotchocolate,8,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.6803149580955505,0,1
spicedhotchocolate,8,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.23600000351667405,1,1
spicedhotchocolate,9,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.856692910194397,0,1
spicedhotchocolate,9,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.9680000001192093,0,1
spicedhotchocolate,1,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.8409448862075806,0,1
spicedhotchocolate,1,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.4050000060349703,1,1
spicedhotchocolate,2,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.5078740119934082,0,0
spicedhotchocolate,2,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,3,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.8992125391960144,0,1
spicedhotchocolate,3,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.6956666764989495,0,1
spicedhotchocolate,5,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.774803102016449,0,0
spicedhotchocolate,5,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,6,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9614173769950867,0,0
spicedhotchocolate,6,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.800000011920929,0,0
spicedhotchocolate,7,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.800000011920929,0,0
spicedhotchocolate,8,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.614173173904419,0,1
spicedhotchocolate,8,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.23600000351667405,1,1
spicedhotchocolate,9,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.8937008380889893,0,1
spicedhotchocolate,9,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.9680000001192093,0,1
spicedhotchocolate,1,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.8015748262405396,0,1
spicedhotchocolate,1,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.4050000060349703,1,1
spicedhotchocolate,2,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.5188976526260376,0,0
spicedhotchocolate,2,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,3,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.9157480001449585,0,1
spicedhotchocolate,3,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.6956666764989495,0,1
spicedhotchocolate,5,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.7511811256408691,0,0
spicedhotchocolate,5,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,6,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.9614173769950867,0,0
spicedhotchocolate,6,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.800000011920929,0,0
spicedhotchocolate,7,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.800000011920929,0,0
spicedhotchocolate,8,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.7251968383789062,0,1
spicedhotchocolate,8,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.23600000351667405,1,1
spicedhotchocolate,9,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.8771653175354004,0,1
spicedhotchocolate,9,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.9680000001192093,0,1
spicedhotchocolate,1,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.7842520475387573,0,1
spicedhotchocolate,1,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.4050000060349703,1,1
spicedhotchocolate,2,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.6149606704711914,0,0
spicedhotchocolate,2,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,3,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.8771653175354004,0,1
spicedhotchocolate,3,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.6956666764989495,0,1
spicedhotchocolate,5,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.7480314373970032,0,0
spicedhotchocolate,5,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.42400000631809237,1,0
spicedhotchocolate,6,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.9614173769950867,0,0
spicedhotchocolate,6,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.800000011920929,0,0
spicedhotchocolate,7,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.800000011920929,0,0
spicedhotchocolate,8,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.4874016046524048,1,1
spicedhotchocolate,8,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.23600000351667405,1,1
spicedhotchocolate,9,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.8968504667282104,0,1
