example_id,node_id,serialization_id,serialization,method,score,binary_prediction,gold_label
spicedhotchocolate,1,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.9999998807907104,0,1
spicedhotchocolate,1,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,2,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.8700786828994751,0,0
spicedhotchocolate,2,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.0,1,0
spicedhotchocolate,3,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.9291337728500366,0,1
spicedhotchocolate,3,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,5,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.9645668268203735,0,0
spicedhotchocolate,5,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.0,1,0
spicedhotchocolate,6,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.9330707788467407,0,0
spicedhotchocolate,6,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.9960628747940063,0,0
spicedhotchocolate,7,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,1.0,0,0
spicedhotchocolate,8,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.27637794613838196,1,1
spicedhotchocolate,8,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,9,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,1.0,0,1
spicedhotchocolate,9,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,1,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9999998807907104,0,1
spicedhotchocolate,1,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,2,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9094487428665161,0,0
spicedhotchocolate,2,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.0,1,0
spicedhotchocolate,3,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9094488024711609,0,1
spicedhotchocolate,3,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,5,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9645668268203735,0,0
spicedhotchocolate,5,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.0,1,0
spicedhotchocolate,6,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9330707788467407,0,0
spicedhotchocolate,6,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9960628747940063,0,0
spicedhotchocolate,7,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,1.0,0,0
spicedhotchocolate,8,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.8173227310180664,0,1
spicedhotchocolate,8,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,9,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.9999999403953552,0,1
spicedhotchocolate,9,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,1,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.9999999403953552,0,1
spicedhotchocolate,1,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,2,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.858267605304718,0,0
spicedhotchocolate,2,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.0,1,0
spicedhotchocolate,3,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.9606298804283142,0,1
spicedhotchocolate,3,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.0,1,1
spicedhotchocolate,5,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.9212597608566284,0,0
spicedhotchocolate,5,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.0,1,0
spicedhotchocolate,6,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.9330707788467407,0,0
spicedhotchocolate,6,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.9960628747940063,0,0
spicedhotchocolate,7,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,1.0,0,0
spicedhotchocolate,8,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.03779527544975281,1,1
spicedhotchocolate,8,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.0,1,1
